map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
carre,1,53750.0,3870.0,1,1,53750.0,3870.0,1,1,53750.0,3870.0,0,0,1
carre,1,31485.0,2266.92,0,1,31485.0,2266.92,0,1,31485.0,2266.92,0,0,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,0,1
carre,1,76014.0,5473.008,0,1,76014.0,5473.008,0,1,76014.0,5473.008,0,0,1
carre,1,44528.0,3206.016,0,1,44528.0,3206.016,0,1,44528.0,3206.016,0,0,1
carre,1,66783.34,4808.40075,0,1,66783.34,4808.40075,0,1,66783.34,4808.40075,0,0,1
carre,1,76014.0,5473.008,0,1,76014.0,5473.008,0,1,76014.0,5473.008,0,0,1
carre,1,62971.0,4533.912,0,1,62971.0,4533.912,0,1,62971.0,4533.912,0,0,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,0,1
carre,1,94456.0,6800.832,0,1,94456.0,6800.832,0,1,94456.0,6800.832,0,0,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,0,1
carre,1,31485.0,2266.92,0,1,31485.0,2266.92,0,1,31485.0,2266.92,0,0,1
carre,1,53747.24,3869.80115625,0,1,53747.24,3869.80115625,0,1,53747.24,3869.80115625,0,0,1
carre,1,76014.0,5473.008,0,1,76014.0,5473.008,0,1,76014.0,5473.008,0,0,1
carre,1,107492.195,7739.437921875,0,1,107492.195,7739.437921875,0,1,107492.195,7739.437921875,0,0,1
carre,1,22262.234,1602.880875,0,1,22262.234,1602.880875,0,1,22262.234,1602.880875,0,0,1
carre,1,53746.15,3869.722828125,0,1,53746.15,3869.722828125,0,1,53746.15,3869.722828125,0,0,1
carre,1,107498.0,7739.856,0,1,107498.0,7739.856,0,1,107498.0,7739.856,0,0,1
carre,1,94456.0,6800.832,0,1,94456.0,6800.832,0,1,94456.0,6800.832,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,0,1
carre,1,31486.0,2266.992,0,1,31486.0,2266.992,0,1,31486.0,2266.992,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,22262.238,1602.88115625,0,1,22262.238,1602.88115625,0,1,22262.238,1602.88115625,0,0,1
carre,1,116719.234,8403.78515625,0,1,116719.234,8403.78515625,0,1,116719.234,8403.78515625,0,0,1
carre,1,31485.0,2266.92,0,1,31485.0,2266.92,0,1,31485.0,2266.92,0,0,1
carre,1,98271.59,7075.554890625001,0,1,98271.59,7075.554890625001,0,1,98271.59,7075.554890625001,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,76012.05,5472.867515625,0,1,76012.05,5472.867515625,0,1,76012.05,5472.867515625,0,0,1
carre,1,44528.0,3206.016,0,1,44528.0,3206.016,0,1,44528.0,3206.016,0,0,1
carre,1,85231.04,6136.634671875,0,1,85231.04,6136.634671875,0,1,85231.04,6136.634671875,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,98271.6,7075.555171875,0,1,98271.6,7075.555171875,0,1,98271.6,7075.555171875,0,0,1
carre,1,44526.1,3205.8793125,0,1,44526.1,3205.8793125,0,1,44526.1,3205.8793125,0,0,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,0,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,0,1
carre,1,116720.0,8403.84,0,1,116720.0,8403.84,0,1,116720.0,8403.84,0,0,1
carre,1,31486.0,2266.992,0,1,31486.0,2266.992,0,1,31486.0,2266.992,0,0,1
carre,1,85233.125,6136.784859375,0,1,85233.125,6136.784859375,0,1,85233.125,6136.784859375,0,0,1
carre,1,116720.0,8403.84,0,1,116720.0,8403.84,0,1,116720.0,8403.84,0,0,1
carre,1,85235.0,6136.92,0,1,85235.0,6136.92,0,1,85235.0,6136.92,0,0,1
carre,1,31485.0,2266.92,0,1,31485.0,2266.92,0,1,31485.0,2266.92,0,0,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,0,1
carre,1,31485.0,2266.92,0,1,31485.0,2266.92,0,1,31485.0,2266.92,0,0,1
carre,1,76009.36,5472.673734375,0,1,76009.36,5472.673734375,0,1,76009.36,5472.673734375,0,0,1
carre,1,22261.15,1602.802828125,0,1,22261.15,1602.802828125,0,1,22261.15,1602.802828125,0,0,1
carre,1,89044.5,6411.203859375,0,1,89044.5,6411.203859375,0,1,89044.5,6411.203859375,0,0,1
carre,1,22263.057,1602.940078125,0,1,22263.057,1602.940078125,0,1,22263.057,1602.940078125,0,0,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,0,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,0,1
carre,1,44526.047,3205.875515625,0,1,44526.047,3205.875515625,0,1,44526.047,3205.875515625,0,0,1
carre,1,85231.15,6136.642828125,0,1,85231.15,6136.642828125,0,1,85231.15,6136.642828125,0,0,1
carre,1,53749.0,3869.928,0,1,53749.0,3869.928,0,1,53749.0,3869.928,0,0,1
carre,1,66786.6,4808.635171875,0,1,66786.6,4808.635171875,0,1,66786.6,4808.635171875,0,0,1
carre,1,98275.1,7075.8073125,0,1,98275.1,7075.8073125,0,1,98275.1,7075.8073125,0,0,1
carre,1,89048.84,6411.516328125001,0,1,89048.84,6411.516328125001,0,1,89048.84,6411.516328125001,0,0,1
carre,1,66792.0,4809.024,0,1,66792.0,4809.024,0,1,66792.0,4809.024,0,0,1
carre,1,62971.0,4533.912,0,1,62971.0,4533.912,0,1,62971.0,4533.912,0,0,1
carre,1,22263.053,1602.939796875,0,1,22263.053,1602.939796875,0,1,22263.053,1602.939796875,0,0,1
carre,1,31485.0,2266.92,5,1,31485.0,2266.92,0,1,31485.0,2266.92,0,3,1
carre,1,53746.156,3869.723109375,1,1,53746.156,3869.723109375,0,1,53746.156,3869.723109375,0,3,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,3,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,3,1
carre,1,66792.0,4809.024,1,1,66792.0,4809.024,0,1,66792.0,4809.024,0,3,1
carre,1,53749.0,3869.928,0,1,53749.0,3869.928,0,1,53749.0,3869.928,0,3,1
carre,1,62972.0,4533.984,0,1,62972.0,4533.984,0,1,62972.0,4533.984,0,3,1
carre,1,31486.0,2266.992,0,1,31486.0,2266.992,0,1,31486.0,2266.992,0,3,1
carre,1,62970.0,4533.84,0,1,62970.0,4533.84,0,1,62970.0,4533.84,0,3,1
carre,1,53750.0,3870.0,0,1,53750.0,3870.0,0,1,53750.0,3870.0,0,3,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,3,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,3,1
carre,1,85235.055,6136.923796875,0,1,85235.055,6136.923796875,0,1,85235.055,6136.923796875,0,3,1
carre,1,76012.1,5472.8713125,0,1,76012.1,5472.8713125,0,1,76012.1,5472.8713125,0,3,1
carre,1,22264.0,1603.008,0,1,22264.0,1603.008,0,1,22264.0,1603.008,0,3,1
carre,1,62972.0,4533.984,0,1,62972.0,4533.984,0,1,62972.0,4533.984,0,3,1
carre,1,76012.05,5472.867515625,0,1,76012.05,5472.867515625,0,1,76012.05,5472.867515625,0,3,1
carre,1,62970.0,4533.84,0,1,62970.0,4533.84,0,1,62970.0,4533.84,0,3,1
carre,1,76013.0,5472.936,0,1,76013.0,5472.936,0,1,76013.0,5472.936,0,3,1
carre,1,62971.0,4533.912,0,1,62971.0,4533.912,0,1,62971.0,4533.912,0,3,1
insa,1,726.77094,233.38880964088438,4,1,726.77094,233.38880964088438,0,1,726.77094,233.38880964088438,0,0,1
insa,1,1269.1257,110.26594252967834,12,1,1269.1257,110.26594252967834,0,1,1269.1257,110.26594252967834,0,0,1
