map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
carre,25,1,89056.0,6412.032,1456258,1,89056.0,6412.032,1565869,1,89056.0,6412.032,238712,0,4,1
carre,25,1,107492.195,7739.437921875,879068,1,107492.195,7739.437921875,494727,1,107492.195,7739.437921875,325813,0,4,1
carre,25,1,66792.0,4809.024,515264,1,66792.0,4809.024,195529,1,66792.0,4809.024,134268,0,3,1
carre,25,1,22264.0,1603.008,397064,1,22264.0,1603.008,51041,1,22264.0,1603.008,53924,0,1,1
carre,25,1,85235.0,6136.92,365852,1,85235.0,6136.92,340158,1,85235.0,6136.92,177111,0,3,1
carre,25,1,62971.0,4533.912,889615,1,62971.0,4533.912,540696,1,62971.0,4533.912,206877,0,2,1
carre,25,1,125942.0,9067.824,482473,1,125942.0,9067.824,365633,1,125942.0,9067.824,159241,0,4,1
carre,25,1,53750.0,3870.0,319655,1,53750.0,3870.0,141471,1,53750.0,3870.0,76453,0,2,1
carre,25,1,76013.0,5472.936,580629,1,76013.0,5472.936,257337,1,76013.0,5472.936,99692,0,3,1
carre,25,1,76013.0,5472.936,137213,1,76013.0,5472.936,263697,1,76013.0,5472.936,105797,0,3,1
carre,25,1,98277.0,7075.9439999999995,396064,1,98277.0,7075.9439999999995,237609,1,98277.0,7075.9439999999995,60116,0,4,1
carre,25,1,98277.0,7075.944,166241,1,98277.0,7075.9439999999995,230288,1,98277.0,7075.9439999999995,133740,0,4,1
carre,25,1,22264.0,1603.008,143572,1,22264.0,1603.008,46624,1,22264.0,1603.008,35272,0,1,1
carre,25,1,53746.156,3869.723109375,295347,1,53746.156,3869.723109375,150198,1,53746.156,3869.723109375,55118,0,2,1
carre,25,1,98277.0,7075.944,140798,1,98277.0,7075.9439999999995,207367,1,98277.0,7075.9439999999995,98543,0,4,1
carre,25,1,31486.0,2266.992,113553,1,31486.0,2266.992,40593,1,31486.0,2266.992,32204,0,1,1
carre,25,1,76013.0,5472.936,706623,1,76013.0,5472.936,143094,1,76013.0,5472.936,88381,0,3,1
carre,25,1,44528.0,3206.016,348934,1,44528.0,3206.016,124897,1,44528.0,3206.016,65085,0,2,1
carre,25,1,76013.0,5472.936,195019,1,76013.0,5472.936,301253,1,76013.0,5472.936,153275,0,3,1
carre,25,1,53749.0,3869.928,148794,1,53749.0,3869.928,114854,1,53749.0,3869.928,36636,0,2,1
carre,25,1,31486.0,2266.992,259300,1,31486.0,2266.992,52938,1,31486.0,2266.992,33765,0,1,1
carre,25,1,53750.0,3870.0,148000,1,53750.0,3870.0,81285,1,53750.0,3870.0,63034,0,2,1
carre,25,1,107498.055,7739.860078125,549353,1,107498.055,7739.860078125,295967,1,107498.055,7739.860078125,135569,0,4,1
carre,25,1,53749.0,3869.928,380674,1,53749.0,3869.928,194844,1,53749.0,3869.928,43591,0,2,1
carre,25,1,85231.04,6136.634671875,913975,1,85231.04,6136.634671875,180827,1,85231.04,6136.634671875,62392,0,3,1
carre,25,1,98271.59,7075.554890625001,534463,1,98271.59,7075.554890625001,283484,1,98271.59,7075.554890625001,101433,0,4,1
carre,25,1,22261.156,1602.80325,753728,1,22261.156,1602.80325,21165,1,22261.156,1602.80325,21987,0,1,1
carre,25,1,98277.0,7075.944,258939,1,98277.0,7075.9439999999995,88204,1,98277.0,7075.9439999999995,37689,0,4,1
carre,25,1,89048.84,6411.516328125001,714817,1,89048.84,6411.516328125001,241806,1,89048.84,6411.516328125001,109176,0,4,1
carre,25,1,31485.0,2266.92,882667,1,31485.0,2266.92,41298,1,31485.0,2266.92,21866,0,1,1
carre,25,1,62971.0,4533.912,183870,1,62971.0,4533.912,83216,1,62971.0,4533.912,38502,0,2,1
carre,25,1,22264.0,1603.008,256209,1,22264.0,1603.008,48402,1,22264.0,1603.008,41973,0,1,1
carre,25,1,62970.0,4533.84,318452,1,62970.0,4533.84,102428,1,62970.0,4533.84,49846,0,2,1
carre,25,1,53746.04,3869.714671875,260023,1,53746.04,3869.714671875,97397,1,53746.04,3869.714671875,40890,0,2,1
carre,25,1,76013.0,5472.936,315635,1,76013.0,5472.936,125042,1,76013.0,5472.936,62682,0,3,1
carre,25,1,66789.1,4808.8153125,253316,1,66789.1,4808.8153125,109265,1,66789.1,4808.8153125,39850,0,3,1
carre,25,1,89056.0,6412.032,414856,1,89056.0,6412.032,248954,1,89056.0,6412.032,47132,0,4,1
carre,25,1,22264.0,1603.008,354218,1,22264.0,1603.008,67148,1,22264.0,1603.008,31233,0,1,1
carre,25,1,98268.34,7075.320609375,414179,1,98268.34,7075.320609375,137589,1,98268.34,7075.320609375,49164,0,4,1
carre,25,1,85235.0,6136.92,310646,1,85235.0,6136.92,151170,1,85235.0,6136.92,96858,0,3,1
carre,25,1,53749.0,3869.928,302945,1,53749.0,3869.928,87767,1,53749.0,3869.928,32381,0,2,1
carre,25,1,22262.238,1602.88115625,154570,1,22262.238,1602.88115625,24439,1,22262.238,1602.88115625,18859,0,1,1
carre,25,1,31486.0,2266.992,360175,1,31486.0,2266.992,126261,1,31486.0,2266.992,36508,0,1,1
carre,25,1,85234.0,6136.848,537091,1,85234.0,6136.848,298903,1,85234.0,6136.848,107916,0,3,1
carre,25,1,53747.125,3869.7928593750003,262615,1,53747.125,3869.7928593750003,73583,1,53747.125,3869.7928593750003,31957,0,2,1
carre,25,1,85235.0,6136.92,295541,1,85235.0,6136.92,93302,1,85235.0,6136.92,46223,0,3,1
carre,25,1,53749.0,3869.928,293731,1,53749.0,3869.928,38757,1,53749.0,3869.928,23900,0,2,1
carre,25,1,85233.234,6136.792875,204270,1,85233.234,6136.792875,121883,1,85233.234,6136.792875,54404,0,3,1
carre,25,1,31486.0,2266.992,253306,1,31486.0,2266.992,65937,1,31486.0,2266.992,27380,0,1,1
carre,25,1,66792.0,4809.024,313177,1,66792.0,4809.024,109846,1,66792.0,4809.024,49546,0,3,1
carre,25,1,22261.15,1602.802828125,249818,1,22261.15,1602.802828125,14697,1,22261.15,1602.802828125,14777,0,1,1
carre,25,1,85235.055,6136.923796875,162436,1,85235.055,6136.923796875,85670,1,85235.055,6136.923796875,39602,0,3,1
carre,25,1,31485.0,2266.92,130563,1,31485.0,2266.92,38428,1,31485.0,2266.92,15066,0,1,1
carre,25,1,22264.0,1603.008,623868,1,22264.0,1603.008,83910,1,22264.0,1603.008,34786,0,1,1
carre,25,1,53747.24,3869.80115625,451282,1,53747.24,3869.80115625,156267,1,53747.24,3869.80115625,55945,0,2,1
